Название кружка;Направление;Поставщик;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Клуб "Поиск";Военно-патриотическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Клуб юнармейцев (КСК);Военно-патриотическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
"Суворовец";Военно-патриотическое;Детско-юношеский центр "Здоровье";г Пермь, ул Карпинского, 75;8(342)280-26-32;Епанов Владимир Ильич;http://www.zdorovie.perm.ru;56.218529;57.978562
Военно-патриотический клуб;Военно-патриотическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
ГРЕКО-РИМСКАЯ БОРЬБА;Военно-патриотическое;Муниципальное автономное образовательное учреждение дополнительного образования детей "Детско-юношеский центр "Фаворит" г. Перми";г Пермь, ул Репина, 67а;(342)285-29-42;Поносов Владимир Александрович;http://www.favorit-centr.ru;56.28531;58.111426
РУССКИЙ РУКОПАШНЫЙ БОЙ;Военно-патриотическое;Муниципальное автономное образовательное учреждение дополнительного образования детей "Детско-юношеский центр "Фаворит" г. Перми";г Пермь, ул Репина, 67а;(342)285-29-42;Поносов Владимир Александрович;http://www.favorit-centr.ru;56.28531;58.111426
Военно-патриотический клуб "Мужество";Военно-патриотическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯВоенно-патриотический клуб "Мужество";Военно-патриотическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯКурс выживания (ВПК);Военно-патриотическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯПервая медицинская помощь (ВПК);Военно-патриотическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯРукопашный бой (ВПК);Военно-патриотическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТактическая подготовка (ВПК);Военно-патриотическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯШкола безопасности и выживания;Военно-патриотическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Веселые старты/Биряльцева;Военно-патриотическое;Станция юных техников Орджоникидзевского района г. Перми;г Пермь, ул Вильямса, 72;2744288;Дзюба Нина Егоровна;http://sutperm.narod.ru/;56.29211;58.098144
Пермячок/Давыдова;Военно-патриотическое;Станция юных техников Орджоникидзевского района г. Перми;г Пермь, ул Вильямса, 72;2744288;Дзюба Нина Егоровна;http://sutperm.narod.ru/;56.29211;58.098144
Военно-патриотический клуб "МУЖЕСТВО";Военно-патриотическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
КЛУБ ЮНЫХ ИНСПЕКТОРОВ ДВИЖЕНИЯ;Военно-патриотическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
МЕТКИЙ СТРЕЛОК;Военно-патриотическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Военно-исторический клуб "Русский щит";Военно-патриотическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Объединение "ПАТРИОТ";Военно-патриотическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Отряд юных ГИБДД;Военно-патриотическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Военно - патриотический клуб "Мужество" ОФП;Военно-патриотическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Военно-патриотический клуб "Мужество";Военно-патриотическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Логика;Естественнонаучное;АНО НОУ ДОД «Буратино»;г Пермь, ул Куйбышева, 107;+7 342 2902579, +7 342 2456711;Нигматуллина Наталия Ольдиаровна;;56.248434;57.985853
АРХЕОЛОГИЯ;Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
АСТРОКЛУБ "ТЕЛЕСКОП";Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Интеллект-бум (КСК);Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Первые шаги в астрономию (КСК);Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
"Медицинские аспекты экологии";Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Школа юного медика;Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
"Фармакология: мир открытий";Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Юный химик;Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Интеллектуальный клуб;Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
интеллектуальный клуб II;Естественнонаучное;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Открывающаяся земля;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
"Журналистика";Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Клуб "Юный журналист-72";Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Юный журналист;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Юный журналист;Культурологическое;Дом детского творчества «Пермячок»;г Пермь, ул Советская, 56;212-97-37, 212-61-49;Балашенко Людмила  Александровна;http://www.permyachok.ru;56.236495;58.014488
Юный журналист;Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯВерстка (Контакт);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯКомпьютерная графика (контакт);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯКонтакт;Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯРепортер (Контакт);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯШкола мультимедиа (контакт);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Журналистика;Культурологическое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Школа юного журналиста;Культурологическое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Юный журналист;Культурологическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Политика и право;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Филателия;Культурологическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Скорочтение;Культурологическое;АНО НОУ ДОД «Буратино»;г Пермь, ул Куйбышева, 107;+7 342 2902579, +7 342 2456711;Нигматуллина Наталия Ольдиаровна;;56.248434;57.985853
Литературное краеведение;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Литературное объединение "Тропа";Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Объединение "Лингвист";Культурологическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Поэтический театр;Культурологическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Поэтический театр "Художественное слово";Культурологическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Обучение английскому языку на базе УМК "New Grammar Time 3";Культурологическое;Автономная некоммерческая организация «Семейный центр «Бона Менте» (Добрыми намерениями);г Пермь, ул Сысольская, 2;(342) 2576101, 2576376, 89127825222;Перминова Светлана Сергеевна;http://www.bonamente.perm.ru;55.98061;58.016495
Обучение английскому языку на базе УМК: "Friend";Культурологическое;Автономная некоммерческая организация «Семейный центр «Бона Менте» (Добрыми намерениями);г Пермь, ул Сысольская, 2;(342) 2576101, 2576376, 89127825222;Перминова Светлана Сергеевна;http://www.bonamente.perm.ru;55.98061;58.016495
Обучение английскому языку на базе УМК:"Family and friend 1";Культурологическое;Автономная некоммерческая организация «Семейный центр «Бона Менте» (Добрыми намерениями);г Пермь, ул Сысольская, 2;(342) 2576101, 2576376, 89127825222;Перминова Светлана Сергеевна;http://www.bonamente.perm.ru;55.98061;58.016495
Иностранные языки (английский, немецкий, французский) для детей;Культурологическое;Международный фонд учебных программ и дополнительного профессионального образования (повышения квалификации) «ХИЛТОН»;г Пермь, ул Петропавловская, 123;(342) 24-66-524, (342) 24-66-534;Галанин Сергей Александрович;http://www.hilton-camp.ru;56.194508;58.007065
Интеллектуальные игры;Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Лингвокраеведение;Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Маленький человек в большом мире;Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯМаленький человек в большом мире;Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯМастерская ремесел (М/Ч);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯНародная культура (М/Ч);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯНародная музыкальная культура (М/Ч);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯНародные игры (М/Ч);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯНародный танец (М/Ч);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯЦветная сказка (М/Ч);Культурологическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Клуб интеллектуальных игр "Вертикаль";Культурологическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
Разговорный английский язык;Культурологическое;НОУ "Средняя общеобразовательная школа - детский сад с этнокультурным еврейским компонентом образования "ОР-Авнер ХаБаД"";г Пермь, ул 25 Октября, 43;212-57-54, 212-77-18;Меркушева Татьяна Леонидовна;;56.255207;58.007646
ИНТЕЛЛЕКТУАЛЬНЫЕ ИГРЫ;Культурологическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
ИНТЕЛЛЕКТУАЛЬНЫЙ ТРЕНИНГ;Культурологическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
РУССКИЕ ШАШКИ;Культурологическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Иностранный язык;Культурологическое;АНО НОУ ДОД «Буратино»;г Пермь, ул Куйбышева, 107;+7 342 2902579, +7 342 2456711;Нигматуллина Наталия Ольдиаровна;;56.248434;57.985853
Армянская литература ( Армянская школа) (КТ1-4);Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Армянская школа;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Армянский язык ( Армянская школа КТ 1-4);Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Грузинская школа;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Грузинский язык (Грузинская школа);Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
История Армении  (Армянская школа,  КТ 2-4);Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
История Грузии (Грузинская школа);Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Страноведение на английском языке;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Страноведение-72  Третьяковой;Культурологическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Объединение "Кругозор";Культурологическое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Шакунтала;Культурологическое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Компьютерная школа;Научно-техническое;АНО НОУ ДОД «Буратино»;г Пермь, ул Куйбышева, 107;+7 342 2902579, +7 342 2456711;Нигматуллина Наталия Ольдиаровна;;56.248434;57.985853
Мой друг компьютер;Научно-техническое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Основы программирования;Научно-техническое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Компьютерный дизайн;Научно-техническое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Школа фотоимиджа;Научно-техническое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Школа юного фотографа;Научно-техническое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Занимательный компьютер;Научно-техническое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Компьютерный клуб "Алгоритм";Научно-техническое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Контакт;Научно-техническое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Цифровая лаборатория;Научно-техническое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯКомпьютерный клуб "Алгоритм" (инв.);Научно-техническое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Знакомство с компьютером;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Оператор ЭВМ "Компьютерная графика";Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Оператор ЭВМ "Компьютерные сети";Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Оператор ЭВМ "Программирование";Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Основы векторной графики;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Основы компьютерной анимации;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Основы компьютерной грамотности;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Основы работы в сети интернет;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Основы разработки электронных презентаций;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Основы растровой графики;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Основы цифровой обработки фильмов и изображений;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Информационные технологии;Научно-техническое;НОУ "Средняя общеобразовательная школа - детский сад с этнокультурным еврейским компонентом образования "ОР-Авнер ХаБаД"";г Пермь, ул 25 Октября, 43;212-57-54, 212-77-18;Меркушева Татьяна Леонидовна;;56.255207;58.007646
Взрослеем вместе/Жукова;Научно-техническое;Станция юных техников Орджоникидзевского района г. Перми;г Пермь, ул Вильямса, 72;2744288;Дзюба Нина Егоровна;http://sutperm.narod.ru/;56.29211;58.098144
ЗАНИМАТЕЛЬНЫЙ КОМПЬЮТЕР;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
